id_producto,nombre,categoria,precio_costo_bs,precio_venta_bs,stock_actual,margen_bs,margen_porcentaje
1,GPS Trackmax X5,GPS,350,499,25,149,29.859719438877757
2,GPS Trackmax Pro,GPS,520,799,12,279,34.91864831038799
3,Cámara IP Hikvision DS-2CD,CAMARA,380,599,18,219,36.56093489148581
4,Cámara Analógica Dahua,CAMARA,250,399,30,149,37.34335839598997
5,Router MikroTik hAP,RED,280,449,15,169,37.639198218262806
6,Switch TP-Link 8 puertos,RED,180,299,40,119,39.79933110367893
7,Cable UTP Cat6,ACCESORIO,120,199,100,79,39.698492462311556
8,NVR Hikvision 4 canales,NVR,650,999,8,349,34.93493493493494
9,Cámara IP TP-Link Tapo,CAMARA,220,349,22,129,36.96275071633238
10,GPS Invoxia,GPS,480,699,10,219,31.330472103004293
11,Cámara IP Dahua PTZ,CAMARA,750,1199,5,449,37.44787322768974
12,Router TPLink Archer,RED,300,499,20,199,39.879759519038075
13,Switch Cisco 24 puertos,RED,1200,1899,3,699,36.808846761453395
14,Kit GPS Vehicular,GPS,400,649,18,249,38.366718027734976
15,Cámara IP Xiaomi,CAMARA,310,499,14,189,37.87575150300601
